State,County,Latitude,Longitude,Region,Year,Population,Med_Sales,Rec_Sales,med_sales_per_citizen,rec_sales_per_citizen,Medical Sales Tax (2.9%),Retail Sales Tax (2.9%),Retail Marijuana Special Sales Tax
COLORADO,Jefferson ,39.58646,-105.245601,NE,2015,564441,22665768,31666363,40.15613324,56.10216657,605557,858140,2547463
COLORADO,Kiowa ,38.388466,-102.75621,SE,2015,1382,0,0,0,0,0,0,0
COLORADO,Kit Carson ,39.30534,-102.603023,NE,2015,8193,0,0,0,0,0,0,0
COLORADO,Lake ,39.30534,-102.603023,NW,2015,7399,6725788,NR,909.0131099,NR,NR,NR,NR
COLORADO,La Plata ,39.204316,-106.349696,SW,2015,54711,0,14867258,0,271.7416607,193362,363683,1183539
COLORADO,Larimer ,40.663091,-105.482131,NE,2015,332980,15907033,28652122,47.77173704,86.04757643,427065,782856,2299012
COLORADO,Las Animas ,38.066674,-103.222708,SE,2015,14029,NR,8598642,NR,612.9190962,NR,216087,627139
COLORADO,Lincoln ,38.99374,-103.507555,SE,2015,5548,0,0,0,0,0,0,0
COLORADO,Logan ,40.728091,-103.090464,NE,2015,22122,0,0,0,0,0,0,0
COLORADO,Mesa ,39.019492,-108.461837,NW,2015,148597,NR,NR,NR,NR,NR,NR,NR
COLORADO,Mineral ,37.651478,-106.9323,SW,2015,745,0,0,0,0,0,0,0
COLORADO,Moffat ,40.573984,-108.204521,NW,2015,12952,NR,0,NR,0,NR,0,0
COLORADO,Montezuma ,37.338025,-108.595786,SW,2015,25674,1438508,5090272,56.02975773,198.2656384,40738,128953,385938
COLORADO,Montrose ,38.413427,-108.263042,SW,2015,40552,NR,0,NR,0,NR,0,0
COLORADO,Morgan ,40.262354,-103.807092,NE,2015,28108,NR,NR,NR,NR,NR,NR,NR
COLORADO,Otero ,37.939766,-103.636272,SE,2015,18187,0,0,0,0,0,0,0
COLORADO,Ouray ,38.1506,-107.767133,SW,2015,4587,NR,342075,NR,74.57488555,NR,7326,27646
COLORADO,Park ,39.118914,-105.717648,NW,2015,16704,NR,1815654,NR,108.6957615,NR,49253,138816
COLORADO,Phillips ,40.594712,-102.345105,NE,2015,4310,0,0,0,0,0,0,0
COLORADO,Pitkin ,39.217533,-106.915943,NW,2015,17864,978931,7723852,54.79909315,432.369682,27886,226897,631418
COLORADO,Prowers ,37.958181,-102.392161,SE,2015,11921,0,0,0,0,0,0,0
COLORADO,Pueblo ,38.170658,-104.489893,SE,2015,162664,8010411,17932786,49.24513722,110.2443442,170236,468083,1480241
COLORADO,Rio Blanco ,39.972606,-108.200685,NW,2015,6480,0,0,0,0,0,0,0
COLORADO,Rio Grande ,37.485763,-106.453214,SW,2015,11320,0,0,0,0,0,0,0
COLORADO,Routt ,40.48316,-106.985289,NW,2015,24307,1905809,5470092,78.40576789,225.0418398,58111,158813,457426
COLORADO,Saguache ,38.033952,-106.246675,SW,2015,6252,0,NR,0,NR,0,NR,NR
COLORADO,San Juan ,37.75737,-107.71625,SW,2015,689,0,NR,0,NR,0,NR,NR
COLORADO,San Miguel ,38.009374,-108.427326,SW,2015,7787,522009,3346696,67.03595736,429.7798896,15682,98680,285372
COLORADO,Sedgwick ,40.871568,-102.355358,NE,2015,2371,NR,NR,NR,NR,NR,NR,NR
COLORADO,Summit ,39.621023,-106.137555,NW,2015,29860,2922604,14799676,97.87689216,495.635499,81622,420621,1216301
COLORADO,Teller ,38.871994,-105.182552,SE,2015,23351,NR,0,NR,0,NR,0,0
COLORADO,Washington ,39.965413,-103.209605,NE,2015,4779,0,0,0,0,0,0,0
COLORADO,Weld ,40.555794,-104.383649,NE,2015,284474,5455796,8861738,19.17854004,31.15131084,129281,548976,1621780
COLORADO,Yuma ,40.000631,-102.422649,NE,2015,10086,0,0,0,0,0,0,0
COLORADO,Not Reported,,,,2015,,8229173,49239627,,,222731,1394020,4033813
COLORADO,Adams,39.874325,-104.331872,NE,2016,497419,4942140,44868387,9.935567399,90.20239878,143488.84,1276362.43,3643736.57
COLORADO,Alamosa,37.568442,-105.788041,SW,2016,16006,NR,0,NR,0,NR,0,0
COLORADO,Arapahoe,39.644632,-104.331733,NE,2016,637266,18337608,95552527,28.77543757,149.9413542,522720,2680955.8,7875183.77
COLORADO,Archuleta,37.202395,-107.050863,SW,2016,12839,NR,NR,NR,NR,NR,114538.02,337871.97
COLORADO,Baca,37.303144,-102.535457,SE,2016,3522,0,0,0,0,0,0,0
COLORADO,Bent,37.931891,-103.077584,SE,2016,5664,0,0,0,0,0,0,0
COLORADO,Boulder,40.094826,-105.398382,NE,2016,321363,29000647,66407479,90.24264461,206.643201,821874.34,1923896,5634966.23
COLORADO,Broomfield,39.953383,-105.052125,NE,2016,66399,0,0,0,0,0,18666,0
COLORADO,Chaffee,38.738246,-106.316972,SW,2016,19077,NR,2291010,NR,120.0927819,NR,74735,273904
COLORADO,Cheyenne,38.835387,-102.604585,SE,2016,1835,0,0,0,0,0,0,0
COLORADO,Clear Creek,39.689403,-105.670791,NW,2016,9395,949888,6464191,101.1056945,688.0458755,27949.24,184714.1,560424.05
COLORADO,Conejos,37.213407,-106.176447,SW,2016,8018,0,3522184,0,439.2846096,0,90726,270605
COLORADO,Costilla,37.277547,-105.42894,SE,2016,3700,NR,2836422,NR,766.6005405,NR,74690,222138
COLORADO,Crowley,38.321956,-103.787562,SE,2016,5203,0,0,0,0,0,0,0
COLORADO,Custer,38.101994,-105.373515,SE,2016,4579,0,0,0,0,0,0,0
COLORADO,Delta,38.861756,-107.864757,SW,2016,30377,0,0,0,0,0,0,0
COLORADO,Denver,39.761849,-104.880625,NE,2016,696347,210860875,290750789,302.8100573,417.5372178,6011328.51,8092487.7,24294094.76
COLORADO,Dolores,37.747602,-108.530383,SW,2016,2050,0,0,0,0,0,0,0
COLORADO,Douglas,39.326435,-104.926199,NE,2016,327970,0,0,0,0,0,0,0
COLORADO,Eagle,39.630638,-106.692944,NW,2016,54294,2485992,12353951,45.78760084,227.5380521,79728.65,338941,1014070.93
COLORADO,Elbert,39.310817,-104.117928,NE,2016,25004,0,0,0,0,0,0,0
COLORADO,El Paso,39.630638,-106.692944,SE,2016,689082,101137059,NR,146.7707167,NR,2730303.72,NR,NR
COLORADO,Fremont,38.455658,-105.421438,SE,2016,46940,2077837,0,44.26580741,0,57724.17,0,0
COLORADO,Garfield,39.599352,-107.90978,NW,2016,58938,4922183,16000942,83.5145916,271.4876989,137829.21,422266,1320639.19
